date,user_id,metric,value,module_id
2026-03-04,dani,streak,1,
2026-03-04,dani,best_streak,1,
2026-03-04,dani,total_sessions,1,
2026-03-04,dani,last_session,2026-03-04,
2026-03-06,dani,streak,1,
2026-03-06,dani,best_streak,1,
2026-03-06,dani,total_sessions,2,
2026-03-06,dani,last_session,2026-03-06,
2026-03-07,dani,streak,2,
2026-03-07,dani,best_streak,2,
2026-03-07,dani,total_sessions,3,
2026-03-07,dani,last_session,2026-03-07,
2026-03-07,dani,total_time_min,105,M1
2026-03-07,dani,avg_focus,75,M1
2026-03-07,dani,flashcards_reviewed,0
